page,name,link,thumbnail,rating,date,snippet,images,local_guide,CoffeeShop
1,James Dalgety,https://www.google.com/maps/contrib/108818568390168071344?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegQIARBB,https://lh3.googleusercontent.com/a/ALm5wu0phyH-0V579EpHCzS3O-A5KDiPLujCVPLStOid=s40-c-c0x00000000-cc-rp-mo-ba3-br100,1.0,3 weeks ago,"Apart from the Banana bread, it was terrible. Maybe it was today's chef but my partners fritters were so mushy and undercooked they were not edible. Sent them back. Ordered an extra egg with my meal, egg white was very undercooked/snotty. I asked for them to cook the egg white through for me after it came out. And it came back again still snotty😅. Won't be back. Don't recommend it.",,True,Single O Surry Hills
1,Ahmed Jadid,https://www.google.com/maps/contrib/114849035862137322486?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegQIARBY,https://lh3.googleusercontent.com/a/ALm5wu3ENguFAD8r-fjSjB_w2yE6HoUqoRLFZKlRjAbU=s40-c-c0x00000000-cc-rp-mo-ba2-br100,1.0,4 months ago,"I wanted an outdoor table to sit down for breakfast and was askes to sit at the bar by one of the male workers. When requested if i would like to start with coffee i asked for a mocha in a takeaway cup. I then saw a female worker direct a couple to the outdoor table i actually wanted. Several minutes later the same bloke brought me a coffee in a mug... Fed up i requested my ""takeaway"" coffee and stated that i won't be eating breakfast here because i was sat down at the bar whilst newcomers were straight away sat down before me. Not the slightest care or concern on his face and had the nerve to charge $6.60 for a coffee the size of plum. You try to be nice towards people and hopw they treat you well but alas",,True,Single O Surry Hills
1,Reza Bagheri,https://www.google.com/maps/contrib/116339273985926590663?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegQIARBu,https://lh3.googleusercontent.com/a/ALm5wu2iHTgvdSytj9TY8MR8EjQHuVeiEAT_qp0hb09j=s40-c-c0x00000000-cc-rp-mo-br100,1.0,3 months ago,Not happy. Beans swimmimg in water with 2 spinach leaves and an egg accompanied by 2 smallest pieces of toast you have ever seen in your life sets you back $26!!!!!! Never again.,,,Single O Surry Hills
1,K,https://www.google.com/maps/contrib/114208026403627444137?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegUIARCLAQ,https://lh3.googleusercontent.com/a/ALm5wu3Q5saQ_GGLWLXScoU7voRF39aXxe9_rl_wc9uJ=s40-c-c0x00000000-cc-rp-mo-br100,1.0,2 months ago,"$6 for a coffee and an unnecessary card surcharge on top. Service is poor and seems disorganised , isn’t worth the hipster mark-up anymore",,,Single O Surry Hills
1,Julie Parker,https://www.google.com/maps/contrib/115263712281074343736?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegUIARChAQ,https://lh3.googleusercontent.com/a/ALm5wu0m2uMEAoit24S572KkaWMobHvxfoqVpB1ONHM=s40-c-c0x00000000-cc-rp-mo-br100,1.0,2 months ago,First negative review I’ve written - I only had 1 slice of the generic banana bread and an oat late and was charged $15.50 very overpriced!,,,Single O Surry Hills
1,SF P,https://www.google.com/maps/contrib/105769598967096080434?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegUIARC-AQ,https://lh3.googleusercontent.com/a-/ACNPEu8Jn_waouZNOHU7tc0a6NRDGClWnm_b1-KWZBD0Tf8=s40-c-c0x00000000-cc-rp-mo-br100,1.0,3 years ago,"I just got in town and was looking for a nice place to send some work emails while enjoying the local surroundings. This was not the place to do so unfortunately as it does not have Wifi (!) and the policy here seems to favour a quick turnaround at the tables rather than fostering a relaxing environment. The coffee I ordered came with a card slip explaining all about it, but nevertheless it did not taste very good: it was watery and bland. Nevertheless there was a nice crowd of people, so I guess that if you are in a group, intend to have as much food as possible and stay a very short period of time, this might indeed be a good place.",,,Single O Surry Hills
1,priyesh patel,https://www.google.com/maps/contrib/100024427173704285209?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegUIARDUAQ,https://lh3.googleusercontent.com/a/ALm5wu0ISOkeXStmlDJ3Z2WGEiJonitTABH4uRB5tuR6=s40-c-c0x00000000-cc-rp-mo-ba3-br100,1.0,2 years ago,"For a cafe that seems to pride themselves on coffee, what was put forward as a takeaway coffee is something would struggle to compete with instant coffee. The milk was scorching hot as if the barista has lost all sensation in his hand and unable to feel what 65 degrees is.",,True,Single O Surry Hills
1,Rob Gore,https://www.google.com/maps/contrib/103120321275951549607?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegUIARDqAQ,https://lh3.googleusercontent.com/a/ALm5wu1EY0q2s6ux1D7AV3Z_2HakmjjrxhJjHi3sB4tt=s40-c-c0x00000000-cc-rp-mo-br100,1.0,7 months ago,"Avo was off, bacon and bread were stale and coffee was really weak. Hardly ate anything and charged $70",,,Single O Surry Hills
1,J B,https://www.google.com/maps/contrib/116114916999503782084?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegUIARCAAg,https://lh3.googleusercontent.com/a/ALm5wu2YSRz1WiqPQY5g7Og-S-dscdK6CDJidKWD43nB=s40-c-c0x00000000-cc-rp-mo-ba3-br100,1.0,6 months ago,Disappointing that basics like toast and eggs are not done properly. No condiments given. Just a miserable egg sitting on toast.,,True,Single O Surry Hills
1,Stephanie Cheng,https://www.google.com/maps/contrib/102127783694982732139?hl=en-US&sa=X&ved=2ahUKEwiy4-K0sJ_7AhWhGVkFHc-jDvkQvvQBegUIARCWAg,https://lh3.googleusercontent.com/a/ALm5wu1ZWjh25GRUViU6aZNN2GBIc6O5hQEoc9aV6Us4=s40-c-c0x00000000-cc-rp-mo-ba4-br100,1.0,6 years ago,"I will never go to this place again. Part from the guy who got us a table, the place was a complete mess. Service was sarcastic, food was mediocre yet overpriced and to too it all off, there was a stone in my salmon salad. When I told the waitress, they passed it around and said the chef would take a look at it. No apologies, no acknowledgement of the health hazard. What a total joke. So many cool joints in Surry, there is no need to pay for such a bad brunch experience. Kudos to the guy with the cool haircut that gave us our seats - you were lovely.",,True,Single O Surry Hills
1,RODERICK GAWTHROP,https://www.google.com/maps/contrib/117156085095431119764?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegQIARA2,https://lh3.googleusercontent.com/a/ALm5wu2YQmqzfgr7xhWUnUO_7mc77rhkGQWWsLIPxNSn=s40-c-c0x00000000-cc-rp-mo-br100,1.0,11 months ago,"Have been to this place a few times now since moving to Surry hills and the only consistent thing about this place is the service. Each time I was made to wait whilst they continued to have a casual chat with a customer that had already ordered, and was never acknowledged. After waiting a few minutes after the chat had seemingly ended, still no acknowledgment so I just had to awkwardly blurt out my order. Very slow service, and no acknowledgment when giving you the coffee, even after saying “thanks”. I’m not asking for a lengthy chat but a simple “hi” would be nice. But not once, any of the times I’ve been there. The only saving grace is the coffee is reasonable, but not on par with the seeming arrogance that the staff (and I think owner) treat the space and other customers. Avoid this place, there is better service and better coffee just 10 steps across the road.",,,Neighbourhood Speciality coffee
1,Emily S,https://www.google.com/maps/contrib/109098962999471705271?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegQIARBM,https://lh3.googleusercontent.com/a/ALm5wu0JmekGQKxKVaC8FsnK4axHZG7-V0mfHk5Jzb4y=s40-c-c0x00000000-cc-rp-mo-br100,1.0,8 months ago,"I like the coffee, just wish they used a different oat milk than Minor Figures. Would love to go back there if they did",,,Neighbourhood Speciality coffee
1,Tyler C,https://www.google.com/maps/contrib/115354353694601707161?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegQIARBi,https://lh3.googleusercontent.com/a/ALm5wu3MTe1AgR69Hh9nWTwe1hCUP8KZJ_oVj9rA0wgw=s40-c-c0x00000000-cc-rp-mo-br100,1.0,a year ago,"This is quite annoying to write as the bagels and coffee are fantastic BUT the service is appalling. The guys who work here just have mates that sit there chatting to them all day, have zero care in the world when serving and are just keen to finish their 4 hour stint within the hole in the wall. I know you are probably succeeding with revenue but you suck.",,,Neighbourhood Speciality coffee
1,Andrew Vild,https://www.google.com/maps/contrib/104784742092923444099?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegQIARB4,https://lh3.googleusercontent.com/a-/ACNPEu-1I2Lab7-FlI3ZGDLdb88GU6B2_HFl0VWFrxLvAEU=s40-c-c0x00000000-cc-rp-mo-ba4-br100,1.0,5 years ago,"Super pretentious. Were really rude to us when we asked about a coffee loyalty card, the response was rudely ""coffee is loyalty enough"". Their coffee is actually terrible. Oh and more expensive than anywhere else around. Go to Bread And Brew or Sample instead!",,True,Neighbourhood Speciality coffee
1,Ramli AA,https://www.google.com/maps/contrib/109082637880478247483?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegUIARCOAQ,https://lh3.googleusercontent.com/a/ALm5wu3ICTQ8M4PCTUp18tLjTB7qvgk1Z9_DU21-jej8=s40-c-c0x00000000-cc-rp-mo-br100,1.0,8 months ago,No good test coffee just test of milk.i ask extra hot he do it cold he smiles for female but male no,,,Neighbourhood Speciality coffee
1,Elvira Sojli,https://www.google.com/maps/contrib/110219670344729661361?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegUIARCkAQ,https://lh3.googleusercontent.com/a/ALm5wu1AI11o1lh-E7k1XdU3KBwSN89_VRksL2aDWLs=s40-c-c0x00000000-cc-rp-mo-ba2-br100,1.0,3 years ago,"Nothing like the hype it generates. Standard coffee, a bit bitter and burned.",,True,Neighbourhood Speciality coffee
1,Jox Lox,https://www.google.com/maps/contrib/100488746234873092643?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegUIARC6AQ,https://lh3.googleusercontent.com/a/ALm5wu3a0JmK-GhdjaSWIDmA97xpI8xv84hLgryq3_Rv=s40-c-c0x00000000-cc-rp-mo-br100,1.0,6 years ago,Disappointing coffee. No flavor. Expensive. Small smaller than average.,,,Neighbourhood Speciality coffee
1,Damien Oliver,https://www.google.com/maps/contrib/110722189135938877371?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegUIARDQAQ,https://lh3.googleusercontent.com/a-/ACNPEu-VsIueamS0AaV6WY9Rorev_aKhbnMDBD0bKKW8ByE=s40-c-c0x00000000-cc-rp-mo-ba3-br100,2.0,4 years ago,Overpriced and tiny!,,True,Neighbourhood Speciality coffee
1,Mann Hing Khor,https://www.google.com/maps/contrib/115701840827250380673?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegUIARDmAQ,https://lh3.googleusercontent.com/a-/ACNPEu91hPEZIxeuM60RFmdBPhKeQGn6JZGrrkO_y7KgsE0=s40-c-c0x00000000-cc-rp-mo-ba3-br100,2.0,a year ago,,,True,Neighbourhood Speciality coffee
1,Potatohands Kim,https://www.google.com/maps/contrib/104070782310529188230?hl=en-US&sa=X&ved=2ahUKEwic7521sJ_7AhVIFVkFHRrHA4sQvvQBegUIARD5AQ,https://lh3.googleusercontent.com/a-/ACNPEu_maeJ-AuhklpaML2pxUGdPvoclTRTiNadEQglES9w=s40-c-c0x00000000-cc-rp-mo-ba4-br100,3.0,4 years ago,It is really similar with Artificial cafe. It is not my type. But my friends liked though.,"['https://lh5.googleusercontent.com/p/AF1QipNipBoIeRxYzSpWa-LLh9H7ya99wdbCuVgDK8gP=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNuGxKUIvaHvNPIZ-p8wWXveiO57pWDuz2U-PVY=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNhDIomUiW0KuzI1oGDXeeWvnU96IDQkvsXyaAs=w100-h100-p-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMpP4r46nxX8Rt1Grx4sCkRpa8bz8a1VPfW45bD=w100-h100-p-n-k-no']",True,Neighbourhood Speciality coffee
1,Will T,https://www.google.com/maps/contrib/113188325396937574165?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegQIARBB,https://lh3.googleusercontent.com/a/ALm5wu2hk6Gy5H0DrxmengzwZSM2s86Yyar3LtGVI54u=s40-c-c0x00000000-cc-rp-mo-br100,1.0,a year ago,"Disappointing coffee experience - coffee itself was overhyped but more importantly, the service was terrible. Classic example of a local speciality coffee shop that became cocky after being featured on Broadsheet. Sad to say this is not the first time that this has happened. Hope Dan and Shoji goes back to basics before losing loyal and new customers.",,,Artificer Coffee
1,Martin Gifford,https://www.google.com/maps/contrib/107535556888770285963?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegQIARBX,https://lh3.googleusercontent.com/a/ALm5wu2M_4vquh6DxThHZMLC4Qx8Y7DRDJ7SckTeFh-P=s40-c-c0x00000000-cc-rp-mo-br100,1.0,a year ago,"I asked for a normal size latte. They gave me a mini-latte. It turns out their normal/regular latte size is mini. The only alternative to that is large. So you have a choice betweeen too small and too large. I've travelled all over Australia and all over Planete Earth, and I've never seen coffee sizes like that. And they don't warn you by showing the sizes. So you are waiting around for a ridiculous experience. Bad start to the day.",,,Artificer Coffee
1,Blake Usher,https://www.google.com/maps/contrib/114562192213367158510?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegQIARBt,https://lh3.googleusercontent.com/a-/ACNPEu_Zee8vFrr17hYR2nhbTjxb2uJSdqH9Ywfpo2RYXyI=s40-c-c0x00000000-cc-rp-mo-ba2-br100,1.0,a year ago,"Absolutely amazing coffee. First bad experience with service. Girl with short blonde hair either has poor product knowledge and covers her embarassment by being rude, or is just naturally rude.",,True,Artificer Coffee
1,Aaron Nolan,https://www.google.com/maps/contrib/110383896922142855373?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegUIARCDAQ,https://lh3.googleusercontent.com/a/ALm5wu38z6y1_skV7gUuUr-t8egE85QFls9l7FFiDRW3rQ=s40-c-c0x00000000-cc-rp-mo-br100,1.0,a year ago,Great coffee. They clearly know what to make but no option for a mug to have in (not great environmentally) and I have to say that the air of superiority and lack of even basic manners like a greeting smile or a thank you was very off putting. I got the sense they thought I should be grateful for going or something. Won’t be going back.,,,Artificer Coffee
1,Pei Rou Shen,https://www.google.com/maps/contrib/103728687796308276194?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegUIARCZAQ,https://lh3.googleusercontent.com/a-/ACNPEu-B9Xo3rUaxp3XF5GNmqNB1S3RAtg0dm1eTNZLhtw=s40-c-c0x00000000-cc-rp-mo-ba4-br100,1.0,3 years ago,"Cold brew was nice. But received a latte that was made from the previous extract of espresso, not fresh espresso result of that was plain cup of coffee, couldn’t tasted the fragrance at all.",,True,Artificer Coffee
1,M K,https://www.google.com/maps/contrib/106550763001312615244?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegUIARCvAQ,https://lh3.googleusercontent.com/a/ALm5wu1D8q3__18fkm_05frsraYkeGJu24wYcDh7y4lA=s40-c-c0x00000000-cc-rp-mo-br100,1.0,a year ago,"HOMELESS COFFEE SNOBS!!! The staff at this “establishment” are arrogant, fake coffee experts. The truth is that, the coffee is VERY AVERAGE and the staff is broke and homeless. They also don’t know how to manage a queue, as two people blatantly cut in front of me. GOOD LUCK WITH YOUR GARBAGE COFFEE and HOMELESS BROKE STAFF.",,,Artificer Coffee
1,Tim Chapman,https://www.google.com/maps/contrib/100616941472979442655?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegUIARDFAQ,https://lh3.googleusercontent.com/a/ALm5wu328tm9sNJ_POSJVOeG5lb-AWbAFj4vpcDdhjzC=s40-c-c0x00000000-cc-rp-mo-br100,1.0,a year ago,Coffee tasted like water and iced chocolate was brown milk with no flavour,,,Artificer Coffee
1,Lucy Taylor,https://www.google.com/maps/contrib/104230916804475884329?hl=en-US&sa=X&ved=2ahUKEwjU08e1sJ_7AhVEFVkFHch9DQIQvvQBegUIARDbAQ,https://lh3.googleusercontent.com/a/ALm5wu1agngoow2Bkj9dbwgkW25Dwl8HkDC8M_5JuiSv=s40-c-c0x00000000-cc-rp-mo-ba2-br100,1.0,2 years ago,Pretentious.,,True,Artificer Coffee
1,David P,https://www.google.com/maps/contrib/106432286757180401177?hl=en-US&sa=X&ved=2ahUKEwiGj5O3sJ_7AhVLGVkFHbCpCqAQvvQBegQIARBB,https://lh3.googleusercontent.com/a-/ACNPEu95ndOiCTtmG80C88YOO6UzMn9rbtpz3AGZIj-Omw=s40-c-c0x00000000-cc-rp-mo-ba4-br100,1.0,a month ago,"The service and ambience was alright. But the food was very bad. Such a poor quality for such a price. The meet was undercooked, chips overcooked. In overall had a very bad experience. And the table was wobbly. Being in Surry Hills there are plenty good places to visit.",['https://lh5.googleusercontent.com/p/AF1QipPssRg4i3ulFZRhege2tjy6VTydH0Q5lRBVd1Ws=w100-h100-p-n-k-no'],True,Cuckoo Callay on Crown
1,Claire Carrico,https://www.google.com/maps/contrib/113455110044451362305?hl=en-US&sa=X&ved=2ahUKEwiGj5O3sJ_7AhVLGVkFHbCpCqAQvvQBegQIARBg,https://lh3.googleusercontent.com/a/ALm5wu2rSWQlkDpz2xmPUxHOn8-F4wPV6YLigF_mxMiI=s40-c-c0x00000000-cc-rp-mo-br100,1.0,3 months ago,"I have been coming here at Cuckoo Callay for a long time, I was stunned by the very indifferent service. This Man on the floor used the phone instead of paying attention to my order, I waited 20 mins for my coffee for the very first time.This man needs a training or he will ruin the good reputation of this place.",,,Cuckoo Callay on Crown
1,Kelly Crawford,https://www.google.com/maps/contrib/111520516094608198724?hl=en-US&sa=X&ved=2ahUKEwiGj5O3sJ_7AhVLGVkFHbCpCqAQvvQBegQIARB9,https://lh3.googleusercontent.com/a/ALm5wu0S1D4HyRNCc5kp43yVv_2g6wUFvX0o5Z3NwOIe=s40-c-c0x00000000-cc-rp-mo-br100,1.0,6 months ago,Dropped in this morning at 8am for breaky & was told I couldn’t sit down as they were having internet problems ???? I asked if they could just take a manual order (I was the only one there!) & again NO . No effort whatsoever. Completely understanding of technical issues but a smile and some customer service wouldn’t go astray! Honestly…. I would’ve been happy with a coffee while I waited. It wasn’t offered. Thank goodness for Shuk across the road - Saturday morning saved.,,,Cuckoo Callay on Crown
1,John Lawrance,https://www.google.com/maps/contrib/115680787708928716807?hl=en-US&sa=X&ved=2ahUKEwiGj5O3sJ_7AhVLGVkFHbCpCqAQvvQBegUIARCTAQ,https://lh3.googleusercontent.com/a/ALm5wu0NBdDcXmaj515ms_PwpMKXxICLmkhufWZwFIrr=s40-c-c0x00000000-cc-rp-mo-br100,1.0,3 months ago,Terrible. Staff ignored us and ordering system did not work. All about throughput and zero service. Do NOT go there.,,,Cuckoo Callay on Crown
